IDCIUDAD,NOMBRE
11001,Bogotá D.C.
76111,Guadalajara de Buga
5001,Medellín
5360,Itagüí
13001,Cartagena de Indias
41001,Neiva
76520,Palmira
50001,Villavicencio
5615,Rionegro
76001,Cali
66170,Dosquebradas
54001,Cúcuta
17001,Manizales
25769,Subachoque
25754,Soacha
8001,Barranquilla
68276,Floridablanca
63001,Armenia
66001,Pereira
25126,Cajicá
73001,Ibagué
68001,Bucaramanga
19001,Popayán
17877,Viterbo
25035,Anapoima
5380,La Estrella
5266,Envigado
47001,Santa Marta
25175,Chía
25430,Madrid
54874,Villa del Rosario
76147,Cartago
76892,Yumbo
5318,Guarne
5088,Bello
63130,Calarcá
20001,Valledupar
17380,La Dorada
17174,Chinchiná
88001,San Andrés
85001,Yopal
5321,Guatapé
25214,Cota
5631,Sabaneta
17873,Villamaría
76828,Trujillo
25513,Pacho
5607,Retiro
5045,Apartadó
5120,Cáceres
52356,Ipiales
54405,Los Patios
25473,Mosquera
76400,La Unión
25290,Fusagasugá
25377,La Calera
25875,Villeta
41524,Palermo
76670,San Pedro
76126,Calima
25286,Funza
76834,Tuluá
8758,Soledad
76250,El Dovio
15686,Santana
5284,Frontino
15001,Tunja
25817,Tocancipá
8573,Puerto Colombia
23660,Sahagún
52001,Pasto
8558,Polonuevo
25873,Villapinzón
5467,Montebello
63470,Montenegro
5686,Santa Rosa de Osos
13836,Turbaco
70001,Sincelejo
5376,La Ceja
5652,San Francisco
23001,Montería
15500,Oicatá
13052,Arjona
25758,Sopó
47189,Ciénaga
52835,San Andrés de Tumaco
44001,Riohacha
25899,Zipaquirá
54553,Puerto Santander
15816,Togüí
52227,Cumbal
76845,Ulloa
19698,Santander de Quilichao
63272,Filandia
63190,Circasia
17042,Anserma
5237,Donmatías
5129,Caldas
25181,Choachí
5197,Cocorná
76318,Guacarí
25799,Tenjo
76109,Buenaventura
50006,Acacías
68081,Barrancabermeja
25662,San Juan de Rioseco
5038,Angostura
19300,Guachené
8560,Ponedera
8685,Santo Tomás
8296,Galapa
23189,Ciénaga de Oro
66682,Santa Rosa de Cabal
63401,La Tebaida
19455,Miranda
76364,Jamundí
5212,Copacabana
15798,Tenza
76306,Ginebra
76036,Andalucía
15299,Garagoa
15696,Santa Sofía
25269,Facatativá
52210,Contadero
52399,La Unión
52233,Cumbitara
54498,Ocaña
68190,Cimitarra
68207,Concepción
68229,Curití
73268,Espinal
15757,Socha
19807,Timbío
20750,San Diego
76113,Bugalagrande
25843,Villa de de Ubaté
5697,El Santuario
76275,Florida
25200,Cogua
15759,Sogamoso
23162,Cereté
23807,Tierralta
25772,Suesca
41013,Agrado
41306,Gigante
41551,Pitalito
27001,Quibdó
76130,Candelaria
76248,El Cerrito
76890,Yotoco
47980,Zona Bananera
8078,Baranoa
8433,Malambo
5665,San Pedro de Urabá
73449,Melgar
13620,San Cristóbal
5034,Andes
20770,San Martín
66400,La Virginia
5313,Granada
5756,Sonsón
52838,Túquerres
19573,Puerto Tejada
47245,El Banco
13074,Barranco de Loba
91001,Leticia
5030,Amagá
18001,Florencia
41006,Acevedo
41807,Timaná
41359,Isnos
41615,Rivera
41298,Garzón
41668,San Agustín
76869,Vijes
15047,Aquitania
41016,Aipe
25245,El Colegio
13140,Calamar
27810,Unión Panamericana
50313,Granada
23417,Lorica
8634,Sabanagrande
25320,Guaduas
25740,Sibaté
68547,Piedecuesta
5079,Barbosa
13683,Santa Rosa
76377,La Cumbre
20060,Bosconia
52224,Cuaspúd
19845,Villa rica
20621,La Paz
20614,Río de Oro
41483,Nátaga
47570,Puebloviejo
20013,Agustín Codazzi
20011,Aguachica
19256,El Tambo
76020,Alcalá
8436,Manatí
54820,Toledo
73319,Guamo
52083,Belén
41518,Paicol
52560,Potosí
50683,San Juan de Arama
85250,Paz de Ariporo
41396,La Plata
19142,Caloto
76233,Dagua
17662,Samaná
44430,Maicao
44035,Albania
44650,San Juan del Cesar
41020,Algeciras
17616,Risaralda
15131,Caldas
15176,Chiquinquirá
8638,Sabanalarga
15223,Cubará
23090,Canalete
15407,Villa de Leyva
15238,Duitama
15646,Samacá
52381,La Florida
52317,Guachucal
41503,Oporapa
52036,Ancuyá
76622,Roldanillo
54125,Cácota
54003,Ábrego
54810,Tibú
17442,Marmato
17444,Marquetalia
20400,La Jagua de Ibirico
20178,Chiriguaná
8520,Palmar de Varela
44098,Distracción
25178,Chipaque
91540,Puerto Nariño
13838,Turbaná
15835,Turmequé
19548,Piendamó
13442,María la Baja
76606,Restrepo
17495,Norcasia
50606,Restrepo
5148,El Carmen de Viboral
52411,Linares
8141,Candelaria
15516,Paipa
25845,Une
25279,Fómeque
13430,Magangué
25743,Silvania
70418,Los Palmitos
8675,Santa Lucía
23466,Montelíbano
68872,Villanueva
17614,Riosucio
25295,Gachancipá
86573,Puerto Leguízamo
52427,Magüí
15469,Moniquirá
54518,Pamplona
73624,Rovira
44279,Fonseca
70742,San Luis de Sincé
41132,Campoalegre
15693,Santa Rosa de Viterbo
13873,Villanueva
63212,Córdoba
15480,Muzo
5190,Cisneros
52390,La Tola
15808,Tinjacá
47745,Sitionuevo
52473,Mosquera
86571,Puerto Guzmán
88564,Providencia
73555,Planadas
76563,Pradera
81001,Arauca
17013,Aguadas
5361,Ituango
27430,Medio Baudó
54261,El Zulia
50573,Puerto López
97001,Mitú
47268,El Retén
85440,Villanueva
15455,Miraflores
15879,Viracachá
15224,Cucaita
18753,San Vicente del Caguán
8606,Repelón
63594,Quimbaya
19110,Buenos Aires
5250,El Bagre
50568,Puerto Gaitán
13673,Santa Catalina
25307,Girardot
19824,Totoró
44090,Dibulla
52378,La Cruz
86568,Puerto Asís
5837,Turbo
41660,Saladoblanco
47053,Aracataca
47288,Fundación
73678,San Luis
5154,Caucasia
25785,Tabio
15776,Sutamarchán
17433,Manzanares
44560,Manaure
15810,Tipacoque
15204,Cómbita
50680,San Carlos de Guaroa
25658,San Francisco
25488,Nilo
8372,Juan de Acosta
47551,Pivijay
8137,Campo de la Cruz
73275,Flandes
68755,Socorro
15861,Ventaquemada
27787,Tadó
27361,Istmina
27600,Río Quito
73411,Líbano
20310,González
15533,Paya
27050,Atrato
27580,Río Iró
27075,Bahía Solano
8421,Luruaco
25535,Pasca
70473,Morroa
73547,Piedras
13222,Clemencia
27073,Bagadó
23182,Chinú
5440,Marinilla
8849,Usiacurí
41530,Palestina
15676,San Miguel de Sema
52435,Mallama
73349,Honda
19809,Timbiquí
8832,Tubará
27099,Bojayá
15322,Guateque
20250,El Paso
20045,Becerril
50124,Cabuyaro
15212,Coper
25151,Cáqueza
25183,Chocontá
25372,Junín
25386,La Mesa
25645,San Antonio del Tequendama
25407,Lenguazaque
85410,Tauramena
25736,Sesquilé
86865,Valle del Guamuez
86001,Mocoa
86320,Orito
20238,El Copey
52490,Olaya Herrera
52693,San Pablo
47258,El Piñón
5147,Carepa
15531,Pauna
25898,Zipacón
54398,La Playa
76054,Argelia
8549,Piojó
70713,San Onofre
70215,Corozal
52520,Francisco Pizarro
15494,Nuevo Colón
15790,Tasco
25436,Manta
25040,Anolaima
5368,Jericó
25572,Puerto Salgar
27205,Condoto
27160,Cértegui
25841,Ubaque
73443,San Sebastián de Mariquita
66088,Belén de Umbría
13244,El Carmen de Bolívar
13657,San Juan Nepomuceno
13468,Mompós
25258,El Peñón
5890,Yolombó
94001,Inírida
86757,San Miguel
25506,Venecia
99001,Puerto Carreño
15109,Buenavista
52079,Barbacoas
5306,Giraldo
25797,Tena
25001,Agua de Dios
20570,Pueblo Bello
44378,Hatonuevo
47161,Cerro de San Antonio
19743,Silvia
25885,Yacopí
52215,Córdoba
52885,Yacuanquer
76497,Obando
19418,López de Micay
5138,Cañasgordas
47692,San Sebastián de Buenavista
68307,Girón
5113,Buriticá
5854,Valdivia
52320,Guaitarilla
52685,San Bernardo
52480,Nariño
52022,Aldana
52585,Pupiales
27800,Unguía
23574,Puerto Escondido
70708,San Marcos
68322,Guapotá
25260,El Rosal
17777,Supía
68077,Barbosa
13688,Santa Rosa del Sur
52250,El Charco
23555,Planeta Rica
23586,Purísima de la Concepción
44078,Barrancas
19532,Patía
25120,Cabrera
15814,Toca
52385,La Llanada
27413,Lloró
5670,San Roque
5172,Chigorodó
25426,Machetá
13433,Mahates
50226,Cumaral
52573,Puerres
52612,Ricaurte
76246,El Cairo
54206,Convención
5789,Támesis
15272,Firavitoba
86219,Colón
70124,Caimito
25599,Apulo
70110,Buenavista
81794,Tame
17486,Neira
23079,Buenavista
23419,Los Córdobas
25019,Albán
25815,Tocaima
52051,Arboleda
52687,San Lorenzo
44847,Uribia
8770,Suan
23068,Ayapel
15215,Corrales
25612,Ricaurte
25878,Viotá
41885,Yaguará
76041,Ansermanuevo
5042,Santa Fé de Antioquia
70820,Santiago de Tolú
5495,Nechí
68406,Lebrija
23815,Tuchín
95001,San José del Guaviare
25326,Guatavita
52240,Chachagüí
52260,El Tambo
52683,Sandoná
27025,Alto Baudó
23300,Cotorra
41799,Tello
68377,La Belleza
5051,Arboletes
5887,Yarumal
5790,Tarazá
25718,Sasaima
25867,Vianí
54377,Labateca
54480,Mutiscua
5642,Salgar
23855,Valencia
52786,Taminango
13670,San Pablo
70670,Sampués
52696,Santa Bárbara
52354,Imués
20228,Curumaní
47058,Ariguaní
27135,El Cantón San Pablo
70400,La Unión
70523,Palmito
52254,El Peñol
73283,Fresno
76736,Sevilla
19318,Guapí
70702,San Juan de Betulia
25123,Cachipay
68689,San Vicente de Chucurí
70265,Guaranda
73217,Coyaima
25312,Granada
5308,Girardota
68770,Suaita
68432,Málaga
97889,Yavaraté
73873,Villarrica
70429,Majagual
52621,Roberto Payán
25324,Guataquí
5659,San Juan de Urabá
15325,Guayatá
70235,Galeras
23675,San Bernardo del Viento
5234,Dabeiba
81736,Saravena
5353,Hispania
27245,El Carmen de Atrato
5425,Maceo
73675,San Antonio
20517,Pailitas
68655,Sabana de Torres
25224,Cucunubá
73168,Chaparral
47707,Santa Ana
13810,Tiquisio
13188,Cicuco
5873,Vigía del Fuerte
25745,Simijaca
23686,San Pelayo
52678,Samaniego
20295,Gamarra
73483,Natagaima
27077,Bajo Baudó
54720,Sardinata
20383,La Gloria
23580,Puerto Libertador
70717,San Pedro
70823,Tolú Viejo
23570,Pueblo Nuevo
81065,Arauquita
66572,Pueblo Rico
23670,San Andrés de Sotavento
23500,Moñitos
54680,Santiago
19130,Cajibío
19137,Caldono
13654,San Jacinto
25086,Beltrán
85010,Aguazul
76895,Zarzal
47545,Pijiño del Carmen
70771,Sucre
23678,San Carlos
23168,Chimá
13894,Zambrano
13760,Soplaviento
70204,Coloso
25322,Guasca
20175,Chimichagua
17050,Aranzazu
54520,Pamplonita
70233,El Roble
25099,Bojacá
13647,San Estanislao
94883,San Felipe
94884,Puerto Colombia
94663,Mapiripana
20710,San Alberto
5142,Caracolí
19075,Balboa
13042,Arenal
23672,San Antero
85139,Maní
52203,Colón
50689,San Martín
97666,Taraira
5604,Remedios
54743,Silos
70230,Chalán
47555,Plato
25402,La Vega
70221,Coveñas
68575,Puerto Wilches
15599,Ramiriquí
15774,Susacón
5044,Anzá
25486,Nemocón
25839,Ubalá
19513,Padilla
73408,Lérida
66687,Santuario
20550,Pelaya
70508,Ovejas
70678,San Benito abad
76122,Caicedonia
47318,Guamal
47605,Remolino
25394,La Palma
19212,Corinto
76243,El Águila
5101,Ciudad Bolívar
25154,Carmen de Carupa
5480,Mutatá
27615,Riosucio
5125,Caicedo
66383,La Celia
68079,Barichara
68573,Puerto Parra
20787,Tamalameque
5475,Murindó
13458,Montecristo
13549,Pinillos
13062,Arroyohondo
15491,Nobsa
19050,Argelia
20443,Manaure Balcón del Cesar
54099,Bochalema
85263,Pore
52287,Funes
5579,Puerto Berrío
27006,Acandí
5490,Necoclí
68679,San Gil
68615,Rionegro
25483,Nariño
86760,Santiago
54174,Chitagá
5591,Puerto Triunfo
19622,Rosas
52019,Albán
27450,Medio San Juan
15572,Puerto Boyacá
23350,La Apartada
5347,Heliconia
52418,Los Andes
52207,Consacá
66075,Balboa
25594,Quetame
5240,Ebéjico
13006,Achí
5093,Betulia
15218,Covarachía
5679,Santa Bárbara
5649,San Carlos
66440,Marsella
44110,El Molino
44874,Villanueva
91405,La Chorrera
68250,El Peñón
68397,La Paz
47205,Concordia
44855,Urumita
18785,Solita
18247,El Doncello
50330,Mesetas
68500,Oiba
5895,Zaragoza
19450,Mercaderes
5107,Briceño
5674,San Vicente Ferrer
19473,Morales
68418,Los Santos
25793,Tausa
5264,Entrerríos
5861,Venecia
68296,Galán
18592,Puerto Rico
50150,Castilla la Nueva
18029,Albania
15806,Tibasosa
15740,Siachoque
91669,Puerto Santander
54599,Ragonvalia
5761,Sopetrán
5543,Peque
13490,Norosí
27150,Carmen del Darién
68464,Mogotes
18610,San José del Fragua
5209,Concordia
68720,Santa Helena del Opón
5736,Segovia
15442,Maripí
68344,Hato
73024,Alpujarra
86885,Villagarzón
23464,Momil
13160,Cantagallo
52405,Leiva
5856,Valparaíso
5664,San Pedro los Milagros
13300,Hatillo de Loba
15804,Tibaná
23682,San José de Uré
25095,Bituima
54172,Chinácota
5310,Gómez Plata
25293,Gachalá
5842,Uramita
5809,Titiribí
5206,Concepción
5660,San Luis
68502,Onzaga
5002,Abejorral
5585,Puerto Nare
54673,San Cayetano
20032,Astrea
85230,Orocué
73616,Rioblanco
41770,Suaza
25297,Gachetá
25288,Fúquene
91798,Tarapacá
18094,Belén de los Andaquíes
5667,San Rafael
13473,Morales
5040,Anorí
5400,La Unión
73504,Ortega
50251,El Castillo
52694,San Pedro de Cartago
68385,Landázuri
73152,Casabianca
73671,Saldaña
5690,Santo Domingo
68160,Cepitá
73236,Dolores
5847,Urrao
41791,Tarqui
5792,Tarso
5282,Fredonia
5658,San José la Montaña
5501,Olaya
41872,Villavieja
13212,Córdoba
25649,San Bernardo
25489,Nimaima
68855,Valle de San José
15753,Soatá
13655,San Jacinto del Cauca
47460,Nueva Granada
15764,Soracá
15837,Tuta
5086,Belmira
47720,Santa Bárbara de Pinto
47703,San Zenón
25592,Quebradanegra
50223,San Luis de Cubarral
5656,San Jerónimo
15466,Monguí
17524,Palestina
18150,Cartagena del Chairá
47541,Pedraza
85162,Monterrey
86569,Puerto Caicedo
99524,La Primavera
76863,Versalles
73043,Anzoátegui
41548,Pital
68682,San Joaquín
5819,Toledo
5134,Campamento
18860,Valparaíso
54051,Arboledas
66594,Quinchía
13780,Talaigua Nuevo
73347,Herveo
5059,Armenia
47170,Chivolo
15632,Saboyá
18410,La Montañita
25281,Fosca
18256,El Paujíl
18479,Morelia
5411,Liborina
27491,Nóvita
19780,Suárez
52110,Buesaco
73585,Purificación
76403,La Victoria
19392,La Sierra
68013,Aguada
17513,Pácora
68132,California
54670,San Calixto
19821,Toribío
47030,Algarrobo
86749,Sibundoy
15051,Arcabuco
85125,Hato Corozal
13030,Altos del Rosario
50325,Mapiripán
5031,Amalfi
68669,San Andrés
68444,Matanza
27495,Nuquí
54250,El Tarra
54239,Durania
41349,Hobo
25053,Arbeláez
25524,Pandi
19290,Florencia
76100,Bolívar
63302,Génova
68684,San José de Miranda
19517,Páez
17653,Salamina
19364,Jambaló
5004,Abriaquí
41206,Colombia
5541,Peñol
15362,Iza
54385,La Esperanza
17088,Belalcázar
25851,Útica
41378,La Argentina
41026,Altamira
5893,Yondó
15232,Chíquiza
73148,Carmen de Apicalá
15087,Belén
54313,Gramalote
63690,Salento
68051,Aratoca
95200,Miraflores
13248,El Guamo
66045,Apía
68255,El Playón
68861,Vélez
25317,Guachetá
68101,Bolívar
63111,Buenavista
73030,Ambalema
52699,Santacruz
13268,El Peñón
41801,Teruel
15580,Quípama
41319,Guadalupe
17388,La Merced
52323,Gualmatán
41357,Íquira
18756,Solano
50287,Fuente de Oro
85430,Trinidad
15226,Cuítiva
5390,La Pintada
44420,La Jagua del Pilar
68152,Carcasí
73352,Icononzo
52788,Tangua
68895,Zapatoca
73026,Alvarado
15542,Pesca
76823,Toro
54800,Teorama
73124,Cajamarca
47798,Tenerife
18205,Curillo
54245,El Carmen
68235,El Carmen de Chucurí
13580,Regidor
15476,Motavita
73563,Prado
15106,Briceño
18460,Milán
68533,Páramo
41078,Baraya
25862,Vergara
25299,Gama
73861,Venadillo
13440,Margarita
95015,Calamar
13667,San Martín de Loba
5091,Betania
5150,Carolina
68673,San Benito
41676,Santa María
15403,La Uvita
5055,Argelia
68209,Confines
73854,Valle de San Juan
68549,Pinchote
15842,Úmbita
52352,Iles
81300,Fortul
15511,Pachavita
68217,Coromoro
68324,Guavatá
91407,La Pedrera
47675,Salamina
68820,Tona
73055,Armero
47660,Sabanas de San Ángel
19701,Santa Rosa
68179,Chipatá
5628,Sabanalarga
15897,Zetaquira
17541,Pensilvania
52720,Sapuyes
54109,Bucarasica
73520,Palocabildo
54223,Cucutilla
54871,Villa Caro
54418,Lourdes
68773,Sucre
5647,San Andrés de Cuerquía
41244,Elías
5145,Caramanta
47960,Zapayán
5315,Guadalupe
19355,Inzá
25491,Nocaima
73770,Suárez
13600,Río Viejo
73226,Cunday
5364,Jardín
68176,Chima
76616,Riofrío
5036,Angelópolis
50318,Guamal
19785,Sucre
